,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
7634,Silver,2014,3640mm,210000.0,1595mm,Chevrolet,Manual,5.0,Hatchback,Kolkata,Chevrolet Beat,28614,Comprehensive,Diesel,2,936
7635,Others,2010,3595mm,240000.0,1495mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Wagon R,60000,Third Party insurance,Petrol,1,998
7636,White,2015,3395mm,239000.0,1490mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,34895,Comprehensive,Petrol,1,796
7637,Silver,2021,3995mm,861000.0,1745mm,Maruti,Automatic,5.0,Hatchback,Kolkata,Maruti Baleno,5891,Comprehensive,Petrol,1,1197
7638,Brown,2017,4879mm,3500000.0,2071mm,Mercedes-Benz,Automatic,5.0,Sedan,Kolkata,Mercedes-Benz E-Class,28204,Comprehensive,Petrol,2,1991
7639,Blue,2020,3700mm,598000.0,1690mm,Maruti,Automatic,5.0,Hatchback,Kolkata,Maruti Ignis,17776,Comprehensive,Petrol,2,1197
7640,White,2017,4440mm,750000.0,1695mm,Honda,Manual,5.0,Sedan,Kolkata,Honda City,66000,Third Party insurance,Diesel,1,1498
7641,Silver,2020,3655 mm,559000.0,1620 mm,Maruti,Automatic,5.0,Hatchback,Kolkata,Maruti Wagon R,10667,Comprehensive,Petrol,1,1197
7642,Red,2021,3995mm,1035000.0,1790,Kia,Manual,5.0,SUV,Kolkata,Kia Sonet,27218,Comprehensive,Diesel,1,1493
7643,White,2023,4823,5895000.0,1827,BMW,Automatic,5.0,Coupe,Kolkata,BMW 3 Series Gran Limousine,170,Third Party insurance,Petrol,1,1998
7644,Grey,2015,3886mm,259000.0,1695mm,Ford,Manual,5.0,Hatchback,Kolkata,Ford Figo,28000,Comprehensive,Petrol,1,1196
7646,White,2020,4315mm,1300000.0,1800mm,Kia,Automatic,5.0,SUV,Kolkata,Kia Seltos,10372,Comprehensive,Petrol,2,1497
7647,Blue,2019,3995mm,650000.0,1745mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Baleno,6000,Comprehensive,Petrol,1,1197
7648,Grey,2018,4395mm,1099000.0,1818mm,Jeep,Automatic,5.0,SUV,Kolkata,Jeep Compass,30022,Comprehensive,Petrol,1,1368
